tahun_kelahiran,pendidikan,status_pernikahan,pendapatan,jumlah_anak_balita,jumlah_anak_remaja,terakhir_belanja,belanja_buah,belanja_daging,belanja_ikan,belanja_kue,pembelian_diskon,pembelian_web,pembelian_toko,keluhan,tanggal_menjadi_anggota
1979,Sarjana,Rencana Menikah,,0,1,,50575,260967,50575,20230,2,2,5,0,5/5/2014
1950,Sarjana,Rencana Menikah,84063000,,,70,6069,44506,80920,20230,9,6,4,0,3/17/2013
1966,Sarjana,Menikah,127532564,0,0,45,117611,265460,96341,145573,1,1,7,0,
1961,Magister,Rencana Menikah,165579620,0,0,90,206346,1613901,27725,125868,0,7,8,0,
1970,Sarjana,Rencana Menikah,117703159,1,1,78,90563,311757,40358,33875,7,6,5,0,
1952,Magister,Sendiri,94346105,0,0,9,33509,49228,0,,1,4,2,0,
1963,Magister,Sendiri,75313000,2,,96,0,14161,8092,2023,1,4,5,0,5/3/2013
1959,Sarjana,Rencana Menikah,137916316,0,0,21,38505,1146659,192956,240718,4,,6,0,
1957,Sarjana,Sendiri,138069883,0,0,26,56486,,193754,202737,3,9,5,0,
1975,Sarjana,Menikah,37567504,1,,67,19061,28067,22223,14146,3,2,1,0,
1953,Sarjana,Sendiri,34471060,0,0,59,14835,20379,18507,6893,3,1,5,0,
1968,SMA,Menikah,142698390,0,1,57,330825,218283,79147,324377,1,8,12,0,
1957,Sarjana,Sendiri,152418000,0,,5,149702,337841,93058,72828,3,10,2,0,11/21/2013
1979,SMP,Menikah,14967000,,0,65,34391,30345,32368,0,0,5,2,0,11/14/2012
1983,Sarjana,Menikah,87587900,1,0,61,8121,420520,44254,23153,4,8,6,0,
1961,Magister,Rencana Menikah,107962505,0,1,45,9783,121506,14412,21201,3,2,5,0,
1977,Doktor,Menikah,78371000,1,0,25,4046,22253,10115,6069,2,3,0,0,
1973,Sarjana,Rencana Menikah,119766595,,1,16,20230,181594,10650,51288,0,7,8,0,
1969,Sarjana,Menikah,51837000,1,0,0,6069,10115,10115,10115,0,0,2,0,6/23/2013
1980,SMA,Sendiri,100650216,0,0,50,10115,3225667,16104,14022,0,0,2,0,
1959,Sarjana,Rencana Menikah,105980937,0,1,69,2023,18743,0,6701,0,0,1,0,
1965,Sarjana,Menikah,138197975,0,,84,40357,214915,40670,43342,4,6,8,0,
1960,Sarjana,Menikah,120775062,0,1,56,11553,27215,26688,58144,1,1,0,0,
1982,SMA,Rencana Menikah,,1,0,54,8742,26206,4231,836,3,2,2,0,
1952,Sarjana,Menikah,156350122,0,0,,328922,327271,316441,119442,0,8,4,0,
1971,Sarjana,Menikah,43178000,1,0,26,0,42483,16184,0,2,1,3,0,10/6/2012
1952,Sarjana,Rencana Menikah,164315916,0,0,59,239427,1512830,63227,90479,0,1,8,0,
1972,Sarjana,Rencana Menikah,147865210,0,0,57,61055,287661,,28185,1,3,4,0,
1957,Sarjana,Rencana Menikah,82594000,0,1,17,12138,42483,30345,8092,2,5,6,0,2/11/2013
1958,Doktor,Rencana Menikah,71993939,1,1,51,8384,23837,7230,6215,4,0,4,0,
1944,Magister,Cerai,135614309,0,1,84,86568,442036,9714,32368,2,12,3,0,
1986,Sarjana,Sendiri,80543000,1,0,29,,,0,0,0,0,2,0,3/28/2014
1962,Sarjana,,123183000,0,1,73,103173,285243,74851,99127,,1,13,0,10/6/2012
1961,Sarjana,Menikah,250037882,0,0,60,167993,2309651,118592,165088,6,3,5,0,
1977,SMA,Cerai,82487648,1,1,87,8966,51693,13012,9759,1,0,3,0,
1973,Sarjana,Sendiri,99401995,0,1,21,8336,50678,,0,0,4,2,0,
1967,SMA,,126562374,0,0,62,31146,298531,84134,102742,3,,6,0,
